,Type,N,chem_class,Nucleophile_smiles,Solvent_smiles
0,C-Nucleophiles,4.63,Arenes,c1cc[nH]c1,ClCCl
1,H-Nucleophiles,5.36,H-Si hydride donors,C[SiH](C)C[Ge](C)(C)C,ClCCl
2,H-Nucleophiles,6.53,H-Si hydride donors,C[SiH](C)C[Sn](C)(C)C,ClCCl
3,H-Nucleophiles,4.91,H-Si hydride donors,C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,ClCCl
4,H-Nucleophiles,3.59,H-Si hydride donors,C[Si](C)(C)C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,ClCCl
5,H-Nucleophiles,3.73,H-Si hydride donors,CCCC[Si](C)(C)C[SiH](C[Si](C)(C)CCCC)C[Si](C)(C)CCCC,ClCCl
6,H-Nucleophiles,3.4,H-Si hydride donors,C[Si](C)(C[SiH](C[Si](C)(C)c1ccccc1)C[Si](C)(C)c1ccccc1)c1ccccc1,ClCCl
7,H-Nucleophiles,0.55,H-C hydride donors,C1=CC=CCC=C1,CC#N
8,H-Nucleophiles,0.35,H-C hydride donors,C1=CCC=CC1,CC#N
9,H-Nucleophiles,-2.86,H-C hydride donors,C1COCO1,ClCCl
10,H-Nucleophiles,-1.06,H-C hydride donors,CCCC1OCCO1,ClCCl
11,O-Nucleophiles,5.2,Alcohols and aqueous solvents,O,O
12,H-Nucleophiles,-0.9,H-C hydride donors,c1ccc(C2OCCO2)cc1,ClCCl
13,H-Nucleophiles,9.8,H-C hydride donors,NC(=O)C1=CN(Cc2ccccc2)C=CC1,CC#N
14,H-Nucleophiles,5.54,H-C hydride donors,CN1c2ccccc2Cc2ccccc21,ClCCl
15,H-Nucleophiles,-0.3,H-C hydride donors,CCCC[Sn](CCCC)(CCCC)CCCC,ClCCl
16,H-Nucleophiles,1.35,H-C hydride donors,CC(C)C[Sn](CC(C)C)(CC(C)C)CC(C)C,ClCCl
17,H-Nucleophiles,-2.4,H-C hydride donors,C[Si]1(C)CCCCC1,ClCCl
18,H-Nucleophiles,-3.86,H-C hydride donors,C[Si]1(C)CCCC1,ClCCl
19,H-Nucleophiles,-5.18,H-C hydride donors,COc1ccc(C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CC#N
20,H-Nucleophiles,9.38,H-C hydride donors,CN1c2ccccc2N(C)C1c1cccc(Cl)c1,CC#N
21,H-Nucleophiles,8.74,H-C hydride donors,CN1c2ccccc2N(C)C1c1ccc(C(F)(F)F)cc1,CC#N
22,H-Nucleophiles,8.36,H-C hydride donors,CN1c2ccccc2N(C)C1c1ccc([N+](=O)[O-])cc1,CC#N
23,O-Nucleophiles,10.47,Alkoxide Anions,[OH-],O
24,N-Nucleophiles,11.05,"Hydrazines, Hydroxylamines etc.",NNC(N)=O,O
25,H-Nucleophiles,0.87,H-Si hydride donors,C[SiH](CC(C)(C)C)c1ccccc1,ClCCl
26,H-Nucleophiles,1.3,H-Si hydride donors,C[SiH](C)Cc1cccc(Cl)c1,ClCCl
27,H-Nucleophiles,2.3,H-Si hydride donors,C[SiH]1CCC1,ClCCl
28,H-Nucleophiles,2.2,H-Si hydride donors,C[SiH]1CCCC1,ClCCl
29,H-Nucleophiles,-1.8,H-Si hydride donors,CCO[SiH](OCC)OCC,ClCCl
30,H-Nucleophiles,2.4,H-Si hydride donors,CCCO[SiH](C)C,ClCCl
31,H-Nucleophiles,4,H-Sn and H-Ge hydride donors,CC[GeH](CC)CC,ClCCl
32,H-Nucleophiles,10.8,H-B hydride donors,[BH4-],O
33,H-Nucleophiles,12.1,H-B hydride donors,[BH3-]C#N,O
34,H-Nucleophiles,-6.5,H-C hydride donors,CC[Si](CC)(CC)CC,CC#N
35,H-Nucleophiles,-5.4,H-C hydride donors,CCCC[Si](C)(C)C,ClCCl
36,H-Nucleophiles,-3.5,H-C hydride donors,C[Si](C)(C)CCc1ccccc1,ClCCl
37,H-Nucleophiles,-6.4,H-C hydride donors,CC[Si](C)(CC)CC(c1ccccc1)c1ccccc1,ClCCl
38,H-Nucleophiles,-4.7,H-C hydride donors,C[Si](C)(C)CCCCCC[Si](C)(C)C,ClCCl
39,N-Nucleophiles,12.15,Aliphatic amines,NCC(F)(F)F,CS(C)=O
40,H-Nucleophiles,-2.1,H-C hydride donors,C[Si]1(C)CCC1,ClCCl
41,H-Nucleophiles,-3.1,H-C hydride donors,C[Si]1(C)CCCCCC1,ClCCl
42,H-Nucleophiles,-2.4,H-C hydride donors,CC[Sn](CC)(CC)CC,CC#N
43,O-Nucleophiles,12.66,Alkoxide Anions,[O-]CC(F)(F)F,O
44,H-Nucleophiles,-4.7,H-C hydride donors,CC[Ge](CC)(CC)CC,CC#N
45,H-Nucleophiles,0.1,H-C hydride donors,CC[Pb](CC)(CC)CC,CC#N
46,H-Nucleophiles,-0.7,H-C hydride donors,CC[Hg]CC,CC#N
47,H-Nucleophiles,-3.4,H-C hydride donors,C[Si](C)(C)CCC[Sn](C)(C)C,CC#N
48,H-Nucleophiles,-1.7,H-C hydride donors,C[Sn](C)(C)CCC[Sn](C)(C)C,CC#N
49,H-Nucleophiles,-4.8,H-C hydride donors,C[Si](C)(C)CCC[Ge](C)(C)C,CC#N
50,H-Nucleophiles,-2.4,H-C hydride donors,C[Ge](C)(C)CCC[Sn](C)(C)C,CC#N
